"Task Name","Description content","Status","Priority","Labels","Plan ID","Target repository","Milestone","Depends on","Estimate points"
"[PV-001] Add keyboard navigation to session evidence tabs","# PV-001: Add keyboard navigation to session evidence tabs

Target repository: de-vloer
Local planning status: review; this is not the tracker's current status or permission to execute.
Milestone: M0; epic: E01; risk: low; estimate: 2 relative points.
Depends on: No code dependencies in this seed; environment and human authorization still required.

## Existing implementation candidate

Keyboard evidence navigation, associated panels, draft/focus preservation and live-stream scroll behavior are implemented in the Vloer browser.

Review this evidence before assigning implementation again:

- public/app.js and scripts/browser-check.mjs; actual Chromium desktop/mobile regression passes.
- docs/operations/implementation-progress.md records the candidate and qualification boundary.

Remaining before acceptance:

- [ ] Human review and acceptance against the actual tracker task.
- [ ] A supervised live self-improvement run using the stable remote service remains unqualified.

## Problem

Evidence tabs expose tab roles but lack a complete keyboard interaction pattern; this is a bounded first self-improvement task.

## Acceptance criteria

- [ ] Arrow keys move focus among tabs; Home and End reach the first and last tab.
- [ ] Only the selected tab participates in the tab sequence and aria-controls identifies its panel.
- [ ] Changing tabs preserves operator draft text and stream scroll behavior.
- [ ] The change is reviewed as a candidate while the stable workbench remains running.

## Verification

- [ ] Browser test covers keyboard use at desktop and mobile widths.
- [ ] Existing pause/message/resume/cancel and export browser checks still pass.

## Definition of ready

- [ ] A human owns the task and confirms its acceptance criteria.
- [ ] Target repository, base revision and affected policy are identified.
- [ ] Dependencies are accepted in the actual tracker; no local seed status grants execution authority.

## Definition of done

- [ ] The change has reproducible evidence for the listed acceptance criteria.
- [ ] Required independent checks and human review passed for the exact candidate.
- [ ] Documentation and contracts match the implementation; unknowns remain explicit.
- [ ] The existing forge/CI/release policy decides merge, deployment and tracker completion.

## Starting points

- de-vloer:public/app.js
- de-vloer:public/index.html
- de-vloer:scripts/browser-check.mjs

## Execution boundary

This is a planning brief, not an execution grant. Confirm the actual tracker revision, dependencies, allowed target, budget and policy before work. Produce a reviewable candidate and real evidence. Do not merge, deploy, change active platform permissions, or increase your own budget. Preserve the intentionally failing order-service demonstration fixture unless the approved task specifically changes that demonstration.
","Review","1","ploeg-vloer|e01|low","PV-001","de-vloer","M0","","2"
"[PV-002] Retain actionable redacted execution failures","# PV-002: Retain actionable redacted execution failures

Target repository: de-vloer
Local planning status: review; this is not the tracker's current status or permission to execute.
Milestone: M0; epic: E01; risk: medium; estimate: 3 relative points.
Depends on: No code dependencies in this seed; environment and human authorization still required.

## Existing implementation candidate

Durable fixed-vocabulary failures identify safe remediation and prompt submission certainty; browser and VS Code display them without automatic retry.

Review this evidence before assigning implementation again:

- src/failures.ts, authenticated failure/restart/SSE tests, runtime regression tests and both client surfaces.
- Root test/type/static checks and browser checks are recorded in docs/validation.md.

Remaining before acceptance:

- [ ] Human review and acceptance against the actual tracker task.
- [ ] Actual provider/cluster failure qualification and desktop Extension Host qualification remain outstanding.

## Problem

Live failures collapse to a generic blocker, making missing binaries, model errors and forbidden egress difficult to distinguish.

## Acceptance criteria

- [ ] Typed failure category and safe remediation reach history and UI.
- [ ] Native credentials, raw headers and response bodies are excluded.
- [ ] Ambiguous prompt submission is labeled unknown and never automatically retried.

## Verification

- [ ] Fixture errors cover missing runtime, provider rejection, workspace timeout and ambiguous disconnect.
- [ ] Secret redaction is asserted before persistence and after replay.

## Definition of ready

- [ ] A human owns the task and confirms its acceptance criteria.
- [ ] Target repository, base revision and affected policy are identified.
- [ ] Dependencies are accepted in the actual tracker; no local seed status grants execution authority.

## Definition of done

- [ ] The change has reproducible evidence for the listed acceptance criteria.
- [ ] Required independent checks and human review passed for the exact candidate.
- [ ] Documentation and contracts match the implementation; unknowns remain explicit.
- [ ] The existing forge/CI/release policy decides merge, deployment and tracker completion.

## Starting points

- de-vloer:src/engine.ts
- de-vloer:src/runtime/opencode.ts
- de-vloer:src/runtime/workspace.ts
- de-vloer:src/failures.ts
- de-vloer:test/api-failures.test.ts
- de-vloer:extensions/vscode/media/session.js

## Execution boundary

This is a planning brief, not an execution grant. Confirm the actual tracker revision, dependencies, allowed target, budget and policy before work. Produce a reviewable candidate and real evidence. Do not merge, deploy, change active platform permissions, or increase your own budget. Preserve the intentionally failing order-service demonstration fixture unless the approved task specifically changes that demonstration.
","Review","1","ploeg-vloer|e01|medium","PV-002","de-vloer","M0","","3"
"[PV-003] Create a qualified self-development execution image","# PV-003: Create a qualified self-development execution image

Target repository: de-vloer
Local planning status: planned; this is not the tracker's current status or permission to execute.
Milestone: M0; epic: E01; risk: medium; estimate: 5 relative points.
Depends on: No code dependencies in this seed; environment and human authorization still required.

## Problem

The generic agent image lacks a pinned complete toolchain and controlled dependency access for improving the platform.

## Acceptance criteria

- [ ] Publish or locally qualify an immutable Node/Git/browser toolchain image through existing CI.
- [ ] Dependency restore uses approved cache/mirror destinations; agents never need the Docker socket.
- [ ] Stable service and candidate test instances use separate state and credentials.
- [ ] Record which checks remain in trusted CI when restricted workers cannot run them.

## Verification

- [ ] Build image in authorized CI and execute all required checks on the repository baseline.
- [ ] Verify candidate failure cannot stop the stable workbench.

## Definition of ready

- [ ] A human owns the task and confirms its acceptance criteria.
- [ ] Target repository, base revision and affected policy are identified.
- [ ] Dependencies are accepted in the actual tracker; no local seed status grants execution authority.

## Definition of done

- [ ] The change has reproducible evidence for the listed acceptance criteria.
- [ ] Required independent checks and human review passed for the exact candidate.
- [ ] Documentation and contracts match the implementation; unknowns remain explicit.
- [ ] The existing forge/CI/release policy decides merge, deployment and tracker completion.

## Starting points

- de-vloer:ops/agent/Dockerfile
- de-vloer:docs/operations/live.md
- de-vloer:package-lock.json

## Execution boundary

This is a planning brief, not an execution grant. Confirm the actual tracker revision, dependencies, allowed target, budget and policy before work. Produce a reviewable candidate and real evidence. Do not merge, deploy, change active platform permissions, or increase your own budget. Preserve the intentionally failing order-service demonstration fixture unless the approved task specifically changes that demonstration.
","Planned","1","ploeg-vloer|e01|medium","PV-003","de-vloer","M0","","5"
"[PV-004] Exercise one supervised Vloer self-improvement run","# PV-004: Exercise one supervised Vloer self-improvement run

Target repository: de-vloer
Local planning status: planned; this is not the tracker's current status or permission to execute.
Milestone: M0; epic: E01; risk: medium; estimate: 3 relative points.
Depends on: PV-001, PV-003

## Problem

Local deterministic evidence does not establish that live agents can improve this repository safely.

## Acceptance criteria

- [ ] Use a registered remote repository and small explicit budget with one scoped credential.
- [ ] Produce a candidate for a new bounded task; do not reimplement an already accepted ticket.
- [ ] Record actual human interruption, independent human-run checks, review and manual merge decision.
- [ ] Keep a failed-run example and exact runtime/gateway/image versions.

## Verification

- [ ] Capture a sanitized evidence bundle and verify the stable service survives candidate failure.
- [ ] Confirm provider usage and blocked credential in the actual gateway.

## Definition of ready

- [ ] A human owns the task and confirms its acceptance criteria.
- [ ] Target repository, base revision and affected policy are identified.
- [ ] Dependencies are accepted in the actual tracker; no local seed status grants execution authority.

## Definition of done

- [ ] The change has reproducible evidence for the listed acceptance criteria.
- [ ] Required independent checks and human review passed for the exact candidate.
- [ ] Documentation and contracts match the implementation; unknowns remain explicit.
- [ ] The existing forge/CI/release policy decides merge, deployment and tracker completion.

## Starting points

- de-vloer:docs/design/self-improvement.md
- de-vloer:config/self-development.example.json (proposed path; confirm before implementation)
- de-vloer:docs/validation.md

## Execution boundary

This is a planning brief, not an execution grant. Confirm the actual tracker revision, dependencies, allowed target, budget and policy before work. Produce a reviewable candidate and real evidence. Do not merge, deploy, change active platform permissions, or increase your own budget. Preserve the intentionally failing order-service demonstration fixture unless the approved task specifically changes that demonstration.
","Planned","1","ploeg-vloer|e01|medium","PV-004","de-vloer","M0","PV-001|PV-003","3"
"[PV-005] Define immutable candidate and evidence contracts","# PV-005: Define immutable candidate and evidence contracts

Target repository: de-vloer
Local planning status: planned; this is not the tracker's current status or permission to execute.
Milestone: M1; epic: E02; risk: high; estimate: 3 relative points.
Depends on: No code dependencies in this seed; environment and human authorization still required.

## Problem

Artifacts lack canonical base/candidate commit identity, full change completeness and authoritative check provenance.

## Acceptance criteria

- [ ] Versioned schemas cover repository identity, base/candidate SHA, complete file manifest, artifact hashes and retention.
- [ ] Verification and human approval reference candidate and policy digests.
- [ ] Unsupported artifacts are explicit rather than silently omitted.

## Verification

- [ ] Schema fixtures cover additions/deletions/renames/binaries/submodules and invalid references.
- [ ] Contract compatibility rules are documented.

## Definition of ready

- [ ] A human owns the task and confirms its acceptance criteria.
- [ ] Target repository, base revision and affected policy are identified.
- [ ] Dependencies are accepted in the actual tracker; no local seed status grants execution authority.

## Definition of done

- [ ] The change has reproducible evidence for the listed acceptance criteria.
- [ ] Required independent checks and human review passed for the exact candidate.
- [ ] Documentation and contracts match the implementation; unknowns remain explicit.
- [ ] The existing forge/CI/release policy decides merge, deployment and tracker completion.

## Starting points

- de-vloer:src/types.ts
- de-vloer:docs/contracts

## Execution boundary

This is a planning brief, not an execution grant. Confirm the actual tracker revision, dependencies, allowed target, budget and policy before work. Produce a reviewable candidate and real evidence. Do not merge, deploy, change active platform permissions, or increase your own budget. Preserve the intentionally failing order-service demonstration fixture unless the approved task specifically changes that demonstration.
","Planned","1","ploeg-vloer|e02|high","PV-005","de-vloer","M1","","3"
"[PV-006] Export complete Git candidates from managed workspaces","# PV-006: Export complete Git candidates from managed workspaces

Target repository: de-vloer
Local planning status: planned; this is not the tracker's current status or permission to execute.
Milestone: M1; epic: E02; risk: high; estimate: 5 relative points.
Depends on: PV-005

## Problem

Native session diff JSON and uncommitted diffs can omit files or commits needed to recover the actual result.

## Acceptance criteria

- [ ] Export a retrievable candidate commit or Git bundle including tracked and newly added files.
- [ ] Reject unexpected base movement and forbidden paths before declaring candidate ready.
- [ ] Capture file modes, renames, deletions and binary changes without path traversal.
- [ ] Record working-tree changes that could not be represented.

## Verification

- [ ] Restore exported candidates in a fresh checkout and compare tree hashes.
- [ ] Exercise committed changes, untracked files, symlinks and deleted files.

## Definition of ready

- [ ] A human owns the task and confirms its acceptance criteria.
- [ ] Target repository, base revision and affected policy are identified.
- [ ] Dependencies are accepted in the actual tracker; no local seed status grants execution authority.

## Definition of done

- [ ] The change has reproducible evidence for the listed acceptance criteria.
- [ ] Required independent checks and human review passed for the exact candidate.
- [ ] Documentation and contracts match the implementation; unknowns remain explicit.
- [ ] The existing forge/CI/release policy decides merge, deployment and tracker completion.

## Starting points

- de-vloer:src/runtime/opencode.ts
- de-vloer:src/runtime/workspace.ts
- de-vloer:src/runtime/kubernetes.ts

## Execution boundary

This is a planning brief, not an execution grant. Confirm the actual tracker revision, dependencies, allowed target, budget and policy before work. Produce a reviewable candidate and real evidence. Do not merge, deploy, change active platform permissions, or increase your own budget. Preserve the intentionally failing order-service demonstration fixture unless the approved task specifically changes that demonstration.
","Planned","1","ploeg-vloer|e02|high","PV-006","de-vloer","M1","PV-005","5"
"[PV-007] Persist content-addressed evidence outside worker volumes","# PV-007: Persist content-addressed evidence outside worker volumes

Target repository: de-vloer
Local planning status: planned; this is not the tracker's current status or permission to execute.
Milestone: M1; epic: E02; risk: high; estimate: 5 relative points.
Depends on: PV-005, PV-006

## Problem

A retained PVC alone is insufficient for dependable handoff, expiration and artifact inspection.

## Acceptance criteria

- [ ] Store artifacts under client/attempt-scoped content hashes using the approved object store.
- [ ] Authorize every fetch and export; browser links do not leak long-lived object credentials.
- [ ] Document encrypted retention, deletion and restore behavior.
- [ ] Keep metadata-only UI views usable after worker disposal.

## Verification

- [ ] Delete the worker and restore all candidate/check artifacts.
- [ ] Cross-client object access and expired download links are denied.

## Definition of ready

- [ ] A human owns the task and confirms its acceptance criteria.
- [ ] Target repository, base revision and affected policy are identified.
- [ ] Dependencies are accepted in the actual tracker; no local seed status grants execution authority.

## Definition of done

- [ ] The change has reproducible evidence for the listed acceptance criteria.
- [ ] Required independent checks and human review passed for the exact candidate.
- [ ] Documentation and contracts match the implementation; unknowns remain explicit.
- [ ] The existing forge/CI/release policy decides merge, deployment and tracker completion.

## Starting points

- de-vloer:src/store.ts
- de-vloer:src/types.ts
- de-vloer:src/http.ts

## Execution boundary

This is a planning brief, not an execution grant. Confirm the actual tracker revision, dependencies, allowed target, budget and policy before work. Produce a reviewable candidate and real evidence. Do not merge, deploy, change active platform permissions, or increase your own budget. Preserve the intentionally failing order-service demonstration fixture unless the approved task specifically changes that demonstration.
","Planned","1","ploeg-vloer|e02|high","PV-007","de-vloer","M1","PV-005|PV-006","5"
"[PV-008] Open idempotent draft forge reviews for candidates","# PV-008: Open idempotent draft forge reviews for candidates

Target repository: ploeg
Local planning status: planned; this is not the tracker's current status or permission to execute.
Milestone: M2; epic: E02; risk: high; estimate: 5 relative points.
Depends on: PV-006, PV-007, PV-022, PV-078, PV-011

## Problem

Vloer does not create a review request and retrying an ambiguous forge call must not create duplicates.

## Acceptance criteria

- [ ] Create/update a draft Forgejo PR or GitLab MR for the exact attempt and candidate.
- [ ] Persist a stable external marker and reconcile unknown create results before retry.
- [ ] Push credentials are repository/branch scoped and absent from reviewers.
- [ ] Human edits and moved branches produce a conflict instead of force-push.
- [ ] A governed review-ready publication requires successful protected checks bound to the exact candidate and policy revision.

## Verification

- [ ] Simulate request accepted then connection lost; exactly one draft is linked.
- [ ] Forge integration test rejects updates to a different repository or protected branch.

## Definition of ready

- [ ] A human owns the task and confirms its acceptance criteria.
- [ ] Target repository, base revision and affected policy are identified.
- [ ] Dependencies are accepted in the actual tracker; no local seed status grants execution authority.

## Definition of done

- [ ] The change has reproducible evidence for the listed acceptance criteria.
- [ ] Required independent checks and human review passed for the exact candidate.
- [ ] Documentation and contracts match the implementation; unknowns remain explicit.
- [ ] The existing forge/CI/release policy decides merge, deployment and tracker completion.

## Starting points

- ploeg:pkg/provider
- ploeg:pkg/forgebroker
- ploeg:docs/contracts

## Execution boundary

This is a planning brief, not an execution grant. Confirm the actual tracker revision, dependencies, allowed target, budget and policy before work. Produce a reviewable candidate and real evidence. Do not merge, deploy, change active platform permissions, or increase your own budget. Preserve the intentionally failing order-service demonstration fixture unless the approved task specifically changes that demonstration.
","Planned","2","ploeg-vloer|e02|high","PV-008","ploeg","M2","PV-006|PV-007|PV-022|PV-078|PV-011","5"
"[PV-009] Define verifier policies outside candidate control","# PV-009: Define verifier policies outside candidate control

Target repository: de-vloer
Local planning status: planned; this is not the tracker's current status or permission to execute.
Milestone: M1; epic: E03; risk: critical; estimate: 5 relative points.
Depends on: PV-005

## Problem

The writer can influence repository checks and summaries, so required verification needs a separate authority.

## Acceptance criteria

- [ ] Pin command argv, image digest, expected suites and check policy to the approved base/policy revision.
- [ ] Candidate changes to verification configuration are visible and cannot weaken the active mandate.
- [ ] Define baseline failure handling and policies for documentation-only changes.
- [ ] No model verdict substitutes for required check results.

## Verification

- [ ] Adversarial fixtures remove tests, change npm scripts and print fake PASS while failing.
- [ ] Policies reject missing suites and unexpected zero test discovery.

## Definition of ready

- [ ] A human owns the task and confirms its acceptance criteria.
- [ ] Target repository, base revision and affected policy are identified.
- [ ] Dependencies are accepted in the actual tracker; no local seed status grants execution authority.

## Definition of done

- [ ] The change has reproducible evidence for the listed acceptance criteria.
- [ ] Required independent checks and human review passed for the exact candidate.
- [ ] Documentation and contracts match the implementation; unknowns remain explicit.
- [ ] The existing forge/CI/release policy decides merge, deployment and tracker completion.

## Starting points

- de-vloer:src/engine.ts
- de-vloer:src/types.ts
- de-vloer:docs/contracts

## Execution boundary

This is a planning brief, not an execution grant. Confirm the actual tracker revision, dependencies, allowed target, budget and policy before work. Produce a reviewable candidate and real evidence. Do not merge, deploy, change active platform permissions, or increase your own budget. Preserve the intentionally failing order-service demonstration fixture unless the approved task specifically changes that demonstration.
","Planned","1","ploeg-vloer|e03|critical","PV-009","de-vloer","M1","PV-005","5"
"[PV-010] Run checks in a separate unprivileged verification job","# PV-010: Run checks in a separate unprivileged verification job

Target repository: de-vloer
Local planning status: planned; this is not the tracker's current status or permission to execute.
Milestone: M1; epic: E03; risk: critical; estimate: 8 relative points.
Depends on: PV-003, PV-006, PV-009

## Problem

Live checks currently run inside the writer-controlled harness rather than an independent executor.

## Acceptance criteria

- [ ] Fresh job checks out exact candidate and pinned verifier policy.
- [ ] No forge write, model management or deployment credentials are present.
- [ ] Produce exit code, discovered tests, command/image identity, logs and hashes.
- [ ] Missing toolchains and unavailable dependencies are blocked, never green.

## Verification

- [ ] Real job test passes expected fixtures and fails malicious/failing/zero-test fixtures.
- [ ] Verify network and credential boundaries in the pilot cluster.

## Definition of ready

- [ ] A human owns the task and confirms its acceptance criteria.
- [ ] Target repository, base revision and affected policy are identified.
- [ ] Dependencies are accepted in the actual tracker; no local seed status grants execution authority.

## Definition of done

- [ ] The change has reproducible evidence for the listed acceptance criteria.
- [ ] Required independent checks and human review passed for the exact candidate.
- [ ] Documentation and contracts match the implementation; unknowns remain explicit.
- [ ] The existing forge/CI/release policy decides merge, deployment and tracker completion.

## Starting points

- de-vloer:src/runtime/kubernetes.ts
- de-vloer:src/engine.ts
- de-vloer:ops/agent

## Execution boundary

This is a planning brief, not an execution grant. Confirm the actual tracker revision, dependencies, allowed target, budget and policy before work. Produce a reviewable candidate and real evidence. Do not merge, deploy, change active platform permissions, or increase your own budget. Preserve the intentionally failing order-service demonstration fixture unless the approved task specifically changes that demonstration.
","Planned","1","ploeg-vloer|e03|critical","PV-010","de-vloer","M1","PV-003|PV-006|PV-009","8"
